Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
Jalen_Wilson,BKN,43,15.4,5,3,1,0.3,0.1,0.4,42.5,32.4,82.6	
Gordon_Hayward,CHA,25,31.9,14.5,4.7,4.6,1.1,0.5,2,46.8,36.1,76.5
Ish_Smith,CHA,43,17.2,3.2,1.8,3.4,0.4,0.1,1.1,41.8,50,75
Davis_Bertans,CHA,28,20.8,8.8,1.8,0.9,0.8,0.3,0.6,39.4,37.5,88.9
Seth_Curry,CHA,8,19.9,9,2,1.8,0.6,0.4,0.6,44.1,32.1,91.7
Vasilije_Micic,CHA,30,27.2,10.8,2.1,6.2,0.7,0.1,2.3,43.7,29.4,83.9
Terry_Rozier,CHA,30,35.5,23.2,3.9,6.6,1.1,0.4,2.2,45.9,35.8,84.5
Frank_Ntilikina,CHA,5,8.6,1,1.2,0.8,0,0,0.2,11.1,12.5,100
Miles_Bridges,CHA,69,37.4,21,7.3,3.3,0.9,0.5,2,46.2,34.9,82.5
P.J._Washington_Jr.,CHA,44,29.2,13.6,5.3,2.2,0.9,0.7,1.5,44.6,32.4,71.3
Grant_Williams,CHA,29,30.6,13.9,5.1,3.2,0.7,0.4,1.9,50.3,37.3,76.5
Cody_Martin,CHA,28,26.9,7.5,3.9,3.7,1.1,0.6,1.6,38.1,31.4,60.6
Marques_Bolden,CHA,9,13.1,4.1,3.6,0.4,0.3,0.8,0.3,68,0,75
Nick_Richards,CHA,67,26.3,9.7,8,0.8,0.4,1.1,1.1,69.1,0,73.7
Theo_Maledon,CHA,13,15.4,4.2,1.8,2.2,0.5,0,1.2,28.8,16.7,91.7
LaMelo_Ball,CHA,22,32.3,23.9,5.1,8,1.8,0.2,3.8,43.3,35.5,86.5
Aleksej_Pokusevski,CHA,18,19.2,7.4,4.4,1.7,0.8,0.7,0.9,42.9,36.4,75.7
Tre_Mann,CHA,28,31,11.9,4.5,5.2,1.7,0.1,2,45.3,36.4,75.9
